area,flag,is_appartement,is_maison,is_propriété,is_terrain,is_vente,is_viager,is_villa,month_rent,n_bedroom,n_picture,n_room,price,location,zipcode
165.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3933.0,5.0,6.0,7.0,987000.0,,
97.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1450.0,2.0,1.0,4.0,364000.0,L Hay Les Roses,94240
83.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1865.0,2.0,4.0,3.0,468000.0,L Hay Les Roses,94240
95.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2610.0,3.0,9.0,5.0,655000.0,L Hay Les Roses,94240
325.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3128.0,4.0,10.0,10.0,785000.0,Arcueil,94110
265.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4981.0,7.0,10.0,9.0,1250000.0,L Hay Les Roses,94240
50.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,241.0,2.0,10.0,3.0,60675.0,L Hay Les Roses,94240
80.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,485.0,2.0,5.0,4.0,121925.0,Cachan,94230
28.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,593.0,1.0,9.0,2.0,149000.0,L Hay Les Roses,94240
25.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,637.0,,2.0,1.0,160000.0,,
25.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,725.0,,7.0,1.0,182000.0,Arcueil,94110
24.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,733.0,,7.0,1.0,184000.0,Arcueil,94110
25.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,749.0,1.0,7.0,2.0,188000.0,Arcueil,94110
40.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,783.0,1.0,5.0,2.0,196500.0,L Hay Les Roses,94240
48.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,783.0,1.0,4.0,2.0,196500.0,L Hay Les Roses,94240
34.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,793.0,1.0,2.0,2.0,199000.0,Arcueil,94110
49.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,793.0,1.0,6.0,2.0,199000.0,L Hay Les Roses,94240
49.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,793.0,2.0,7.0,3.0,199000.0,L Hay Les Roses,94240
29.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,793.0,1.0,7.0,2.0,199000.0,Arcueil,94110
66.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,797.0,2.0,9.0,3.0,200000.0,L Hay Les Roses,94240
67.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,797.0,2.0,8.0,3.0,200000.0,L Hay Les Roses,94240
32.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,809.0,,6.0,1.0,203000.0,,
65.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,832.0,3.0,7.0,4.0,209000.0,L Hay Les Roses,94240
34.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,836.0,1.0,5.0,2.0,210000.0,Arcueil,94110
55.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,868.0,2.0,6.0,3.0,218000.0,L Hay Les Roses,94240
32.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,896.0,1.0,9.0,2.0,225000.0,Cachan,94230
33.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,910.0,1.0,7.0,2.0,228360.0,Arcueil,94110
38.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,916.0,,1.0,1.0,230000.0,Cachan,94230
39.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,932.0,1.0,7.0,2.0,234000.0,L Hay Les Roses,94240
38.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,936.0,,2.0,1.0,235000.0,Cachan,94230
38.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,936.0,,2.0,1.0,235000.0,Cachan,94230
37.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,936.0,,6.0,1.0,235000.0,Cachan,94230
45.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,948.0,1.0,10.0,2.0,238000.0,L Hay Les Roses,94240
50.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,948.0,1.0,2.0,2.0,238000.0,Cachan,94230
45.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,948.0,1.0,10.0,2.0,238000.0,L Hay Les Roses,94240
60.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,952.0,2.0,8.0,3.0,239000.0,L Hay Les Roses,94240
62.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,984.0,2.0,6.0,4.0,247000.0,L Hay Les Roses,94240
42.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,996.0,,1.0,2.0,250000.0,Cachan,94230
39.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1016.0,2.0,6.0,2.0,255000.0,Cachan,94230
74.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1016.0,2.0,8.0,3.0,255000.0,L Hay Les Roses,94240
65.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1032.0,2.0,6.0,3.0,259000.0,L Hay Les Roses,94240
53.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1036.0,1.0,4.0,2.0,260000.0,Arcueil,94110
